Alliance;Link
4EU+;https://4euplus.eu/
Arqus;https://arqus-alliance.eu/
Aurora;https://aurora-universities.eu/
CHARM-EU;https://www.charm-eu.eu/node/1
Circle U.;https://www.circle-u.eu/
CIVICA;https://www.civica.eu/
CIVIS;https://civis.eu/en
COLOURS;https://www.uni-paderborn.de/en/university/international-relations/colours-alliance
E3UDRES2;https://eudres.eu/
EC2U;https://ec2u.eu/
ECIU University;https://www.eciu.eu/
EDUC;https://educalliance.eu/
EELISA;https://eelisa.eu/
ENGAGE.EU;https://www.engageuniversity.eu/
ENHANCE;https://www.enhanceuniversity.eu
ENLIGHT;https://enlight-eu.org/
EPICUR;https://epicur.edu.eu/
ERUA;https://erua-eui.eu/
EU GREEN;https://eugreenalliance.eu/
EU4DUAL;https://eu4dual.education/
EU-CONEXUS;https://www.eu-conexus.eu
EUGLOH;https://www.eugloh.eu/
EULiST;https://eulist.university/
EUNICE;https://eunice-university.eu/
EUniWell;https://www.euniwell.eu
EUniWell;https://www.euniwell.eu/
EUPeace;https://www.eupeace.eu/
EURECA-PRO;https://www.eurecapro.eu/
EuroTeQ;https://euroteq.eurotech-universities.eu/
EUt+;http://www.univ-tech.eu/
EUTOPIA;https://eutopia-university.eu
FILMEU;https://www.filmeu.eu/
FORTHEM;https://www.forthem-alliance.eu/
IN.TUNE;https://intune-alliance.eu/
INGENIUM;https://ingenium-university.eu/
INVEST;https://www.invest-alliance.eu/
NEOLAiA;https://neolaiacampus.eu/
NeurotechEU;https://theneurotech.eu/
RUN-EU;https://run-eu.eu/
SEA-EU;https://sea-eu.org/
STARS EU;https://starseu.org/
T4EU;https://transform4europe.eu/
ULYSSEUS;https://ulysseus.eu/
Una Europa;https://www.una-europa.eu/
UNIC;https://www.unic.eu
UNIgreen;https://unigreen-alliance.eu/index.html
UNITA;https://univ-unita.eu/Sites/
Unite!;https://www.unite-university.eu/
UNIVERSEH;https://universeh.eu/
UREKA SHIFT;https://www.ureka.eu/
YUFE;https://yufe.eu/
ACE2EU;https://ace-eu.ipsantarem.pt/
Across;https://www.across-alliance.eu/
ARTEMIS;https://eu-artemis.eu/
BAUHAUS4EU;https://www.bauhaus4.eu/
CHALLENGE.EU;alliance website under construction
EMERGE;https://euemerge.eu/
EUNICoast;https://eunicoast.eu/
EUonAIR;""
HEROES;https://www.heroesuniversity.eu/
KreativEU;https://kreativeu.org/
OpenEU;https://openeu.eu/
PIONEER;https://pioneer-alliance.eu/
SUNRISE;https://sites.google.com/view/sunrise-alliance/home
UNINOVIS;https://uninovis.eu/academic-alliance/
